archetype,dose,seed,v5_side,outcome,reward_v5,reward_arch,score_v5,score_arch,steps,status_v5,status_arch,seconds
half_drainer,0,20068,0,v5,1,-1,2616.0,0.0,88,DONE,DONE,9.4
half_drainer,0,20075,1,v5,1,-1,2499.0,0.0,123,DONE,DONE,7.5
half_drainer,0,20073,1,v5,1,-1,1418.0,0.0,73,DONE,DONE,4.4
half_drainer,0,20077,1,v5,1,-1,2808.0,0.0,126,DONE,DONE,7.3
half_drainer,0,20072,0,v5,1,-1,2613.0,0.0,117,DONE,DONE,11.6
half_drainer,0,20074,0,v5,1,-1,4302.0,0.0,122,DONE,DONE,6.6
half_drainer,0,20079,1,v5,1,-1,5581.0,0.0,113,DONE,DONE,6.7
half_drainer,0,20078,0,v5,1,-1,3414.0,0.0,125,DONE,DONE,10.2
half_drainer,0,20083,1,v5,1,-1,4225.0,0.0,100,DONE,DONE,5.8
half_drainer,0,20076,0,v5,1,-1,2615.0,0.0,71,DONE,DONE,10.2
half_drainer,0,20081,1,v5,1,-1,6451.0,0.0,133,DONE,DONE,10.9
half_drainer,0,20080,0,v5,1,-1,1073.0,0.0,68,DONE,DONE,6.2
half_drainer,0,20084,0,v5,1,-1,6221.0,0.0,122,DONE,DONE,10.2
half_drainer,0,20082,0,v5,1,-1,2908.0,0.0,137,DONE,DONE,13.8
half_drainer,0,20085,1,v5,1,-1,2733.0,0.0,122,DONE,DONE,6.8
half_drainer,0,20087,1,v5,1,-1,829.0,0.0,88,DONE,DONE,5.0
half_drainer,0,20091,1,v5,1,-1,6696.0,0.0,130,DONE,DONE,8.5
half_drainer,0,20092,0,v5,1,-1,4178.0,0.0,135,DONE,DONE,8.6
half_drainer,0,20090,0,v5,1,-1,4475.0,0.0,112,DONE,DONE,10.7
half_drainer,0,20089,1,v5,1,-1,3128.0,0.0,134,DONE,DONE,12.7
half_drainer,0,20088,0,v5,1,-1,3381.0,0.0,136,DONE,DONE,13.3
half_drainer,0,20093,1,v5,1,-1,3239.0,0.0,105,DONE,DONE,7.4
half_drainer,0,20086,0,v5,1,-1,3028.0,0.0,138,DONE,DONE,9.9
half_drainer,0,20095,1,v5,1,-1,2118.0,0.0,117,DONE,DONE,11.5
half_drainer,0,20094,0,v5,1,-1,3768.0,0.0,126,DONE,DONE,13.5
half_drainer,0,20098,0,v5,1,-1,4359.0,0.0,130,DONE,DONE,10.9
half_drainer,0,20097,1,v5,1,-1,4503.0,0.0,115,DONE,DONE,7.0
half_drainer,0,20100,0,v5,1,-1,4740.0,0.0,125,DONE,DONE,7.4
half_drainer,0,20096,0,v5,1,-1,4583.0,0.0,113,DONE,DONE,11.0
half_drainer,0,20099,1,v5,1,-1,2642.0,0.0,77,DONE,DONE,7.4
half_drainer,0,20102,0,v5,1,-1,1996.0,0.0,125,DONE,DONE,10.7
half_drainer,0,20103,1,v5,1,-1,4300.0,0.0,146,DONE,DONE,11.1
half_drainer,0,20105,1,v5,1,-1,816.0,0.0,88,DONE,DONE,8.0
half_drainer,0,20104,0,v5,1,-1,1506.0,0.0,79,DONE,DONE,4.3
half_drainer,0,20106,0,v5,1,-1,1699.0,0.0,213,DONE,DONE,11.1
half_drainer,0,20101,1,v5,1,-1,2425.0,0.0,81,DONE,DONE,8.2
half_drainer,0,20111,1,v5,1,-1,2520.0,0.0,91,DONE,DONE,3.7
half_drainer,0,20110,0,v5,1,-1,5085.0,0.0,136,DONE,DONE,5.3
half_drainer,0,20107,1,v5,1,-1,5544.0,0.0,137,DONE,DONE,11.2
half_drainer,0,20109,1,v5,1,-1,4525.0,0.0,118,DONE,DONE,9.7
half_drainer,0,20108,0,v5,1,-1,3341.0,0.0,159,DONE,DONE,12.2
half_drainer,0,20113,1,v5,1,-1,2444.0,0.0,76,DONE,DONE,4.2
half_drainer,0,20112,0,v5,1,-1,2808.0,0.0,99,DONE,DONE,6.4
half_drainer,0,20115,1,v5,1,-1,1661.0,0.0,79,DONE,DONE,3.9
half_drainer,0,20114,0,v5,1,-1,1647.0,0.0,96,DONE,DONE,6.0
half_drainer,0,20116,0,v5,1,-1,560.0,0.0,70,DONE,DONE,3.2
half_drainer,0,20118,0,v5,1,-1,2753.0,0.0,107,DONE,DONE,7.1
half_drainer,0,20117,1,v5,1,-1,1899.0,0.0,65,DONE,DONE,4.8
half_drainer,1,20003,1,v5,1,-1,1534.0,0.0,123,DONE,DONE,6.0
half_drainer,1,20000,0,v5,1,-1,4153.0,0.0,137,DONE,DONE,11.7
half_drainer,0,20119,1,v5,1,-1,3472.0,0.0,114,DONE,DONE,7.1
half_drainer,1,20002,0,v5,1,-1,4640.0,0.0,108,DONE,DONE,6.7
half_drainer,1,20001,1,v5,1,-1,3042.0,0.0,118,DONE,DONE,6.8
half_drainer,1,20004,0,v5,1,-1,2143.0,0.0,91,DONE,DONE,7.2
half_drainer,1,20005,1,v5,1,-1,2084.0,0.0,125,DONE,DONE,7.2
half_drainer,1,20007,1,v5,1,-1,5095.0,0.0,126,DONE,DONE,10.0
half_drainer,1,20009,1,v5,1,-1,5802.0,0.0,142,DONE,DONE,7.2
half_drainer,1,20011,1,v5,1,-1,6650.0,0.0,126,DONE,DONE,7.0
half_drainer,1,20008,0,v5,1,-1,1302.0,0.0,64,DONE,DONE,5.4
half_drainer,1,20010,0,v5,1,-1,1023.0,0.0,139,DONE,DONE,11.3
half_drainer,1,20013,1,v5,1,-1,3424.0,0.0,122,DONE,DONE,6.2
half_drainer,1,20006,0,v5,1,-1,3887.0,0.0,110,DONE,DONE,8.9
half_drainer,1,20014,0,v5,1,-1,2641.0,0.0,119,DONE,DONE,5.9
half_drainer,1,20012,0,v5,1,-1,4738.0,0.0,133,DONE,DONE,9.9
half_drainer,1,20018,0,v5,1,-1,3366.0,0.0,112,DONE,DONE,6.3
half_drainer,1,20017,1,v5,1,-1,2186.0,0.0,74,DONE,DONE,7.6
half_drainer,1,20016,0,v5,1,-1,2441.0,0.0,103,DONE,DONE,9.2
half_drainer,1,20015,1,v5,1,-1,1921.0,0.0,132,DONE,DONE,12.2
half_drainer,1,20019,1,v5,1,-1,2755.0,0.0,108,DONE,DONE,7.4
half_drainer,1,20021,1,v5,1,-1,3438.0,0.0,133,DONE,DONE,10.6
half_drainer,1,20020,0,v5,1,-1,2154.0,0.0,101,DONE,DONE,10.1
half_drainer,1,20022,0,v5,1,-1,3153.0,0.0,102,DONE,DONE,16.1
half_drainer,1,20026,0,v5,1,-1,3385.0,0.0,138,DONE,DONE,9.4
half_drainer,1,20025,1,v5,1,-1,1048.0,0.0,76,DONE,DONE,5.1
half_drainer,1,20023,1,v5,1,-1,2937.0,0.0,117,DONE,DONE,11.7
half_drainer,1,20029,1,v5,1,-1,3677.0,0.0,107,DONE,DONE,6.8
half_drainer,1,20024,0,v5,1,-1,4646.0,0.0,138,DONE,DONE,14.8
half_drainer,1,20027,1,v5,1,-1,8910.0,0.0,138,DONE,DONE,15.8
