triple,seed,variant,rank,reward,score,steps
clones,30013,cw2,1,1.0,966.0,189
clones,30013,sr2,1,1.0,2782.0,153
clones,30014,sr2,2,-1.0,0.0,129
clones,30014,cw2,2,-1.0,0.0,244
clones,30013,sr1,1,1.0,2567.0,351
clones,30012,sr2,1,1.0,1655.0,499
clones,30015,cw2,2,-1.0,0.0,108
clones,30014,off,2,-1.0,209.0,499
clones,30015,off,1,1.0,3121.0,281
clones,30016,cw2,2,-1.0,0.0,121
clones,30015,sr1,1,1.0,1492.0,215
clones,30015,sr2,2,-1.0,0.0,196
clones,30016,off,1,1.0,2226.0,282
clones,30014,sr1,1,1.0,509.0,499
clones,30017,off,2,-1.0,0.0,208
clones,30017,cw2,2,-1.0,0.0,108
clones,30016,sr1,2,-1.0,0.0,368
clones,30016,sr2,2,-1.0,0.0,308
clones,30018,off,2,-1.0,0.0,202
clones,30018,sr2,2,-1.0,0.0,126
clones,30019,off,1,1.0,1786.0,220
clones,30019,sr1,2,-1.0,0.0,105
clones,30017,sr2,3,-1.0,0.0,499
clones,30019,cw2,1,1.0,1224.0,296
clones,30018,cw2,3,-1.0,0.0,499
clones,30020,off,2,-1.0,0.0,177
clones,30017,sr1,1,1.0,3432.0,499
clones,30018,sr1,1,1.0,509.0,499
clones,30020,sr2,2,-1.0,0.0,128
clones,30021,off,2,-1.0,0.0,122
clones,30021,cw2,1,1.0,1206.0,145
clones,30021,sr1,2,-1.0,0.0,168
clones,30020,cw2,2,-1.0,0.0,462
clones,30021,sr2,2,-1.0,0.0,120
clones,30022,off,2,-1.0,0.0,158
clones,30019,sr2,3,-1.0,92.0,499
clones,30023,off,1,1.0,1471.0,172
clones,30020,sr1,2,-1.0,1187.0,499
clones,30023,cw2,1,1.0,1732.0,150
clones,30022,cw2,2,-1.0,0.0,195
clones,30022,sr2,2,-1.0,0.0,186
clones,30024,off,1,1.0,3437.0,146
clones,30023,sr2,1,1.0,2846.0,185
clones,30024,sr2,1,1.0,2411.0,159
clones,30025,cw2,2,-1.0,0.0,76
clones,30022,sr1,3,-1.0,161.0,499
clones,30025,sr1,2,-1.0,0.0,147
clones,30025,sr2,1,1.0,1386.0,131
clones,30026,off,2,-1.0,0.0,99
clones,30023,sr1,2,-1.0,764.0,499
clones,30024,sr1,2,-1.0,0.0,482
clones,30025,off,2,-1.0,2087.0,499
clones,30024,cw2,3,-1.0,42.0,499
clones,30027,off,1,1.0,2629.0,162
clones,30026,sr2,2,-1.0,0.0,244
clones,30027,sr1,1,1.0,2702.0,192
clones,30028,off,2,-1.0,0.0,88
clones,30026,sr1,2,-1.0,0.0,330
clones,30027,sr2,2,-1.0,0.0,104
clones,30026,cw2,2,-1.0,7806.0,499
clones,30029,off,2,-1.0,0.0,129
clones,30028,cw2,2,-1.0,0.0,230
clones,30028,sr1,2,-1.0,0.0,231
clones,30027,cw2,1,1.0,14693.0,499
clones,30028,sr2,2,-1.0,0.0,278
clones,30029,sr1,1,1.0,2255.0,219
clones,30029,cw2,2,-1.0,0.0,360
clones,30029,sr2,2,-1.0,0.0,315
