opp,seed,side,variant,win,tie,reward,margin,steps
producer_v2,40043,0,ens,0,0,-1.0,-4492.0,183
producer_v2,40043,1,ens,0,0,-1.0,-2342.0,174
producer_v2,40044,0,single,1,0,1.0,1506.0,168
producer_v2,40044,1,single,0,0,-1.0,-1618.0,199
producer_v2,40045,0,single,0,0,-1.0,-1828.0,221
producer_v2,40044,0,ens,1,0,1.0,967.0,320
producer_v2,40045,0,ens,0,0,-1.0,-1767.0,209
producer_v2,40044,1,ens,0,0,-1.0,-1870.0,205
producer_v2,40045,1,single,0,0,-1.0,-1624.0,148
producer_v2,40046,1,single,0,0,-1.0,-2026.0,151
producer_v2,40047,0,single,1,0,1.0,2235.0,147
producer_v2,40046,0,single,1,0,1.0,1542.0,186
producer_v2,40047,0,ens,0,0,-1.0,-1140.0,151
producer_v2,40046,1,ens,1,0,1.0,2360.0,165
producer_v2,40045,1,ens,0,0,-1.0,-1224.0,311
producer_v2,40047,1,ens,1,0,1.0,1866.0,130
producer_v2,40048,0,single,0,0,-1.0,-2616.0,111
producer_v2,40046,0,ens,1,0,1.0,1626.0,258
producer_v2,40047,1,single,1,0,1.0,1153.0,216
producer_v2,40048,0,ens,0,0,-1.0,-832.0,207
producer_v2,40048,1,single,1,0,1.0,1560.0,217
producer_v2,40049,1,single,0,0,-1.0,-2346.0,158
producer_v2,40049,0,single,1,0,1.0,2127.0,223
producer_v2,40048,1,ens,1,0,1.0,859.0,278
producer_v2,40049,1,ens,1,0,1.0,1686.0,185
producer_v2,40049,0,ens,1,0,1.0,906.0,361
producer_v2,40050,0,single,0,0,-1.0,-1628.0,212
producer_v2,40050,1,single,0,0,-1.0,-1968.0,221
producer_v2,40050,0,ens,1,0,1.0,2185.0,178
producer_v2,40050,1,ens,1,0,1.0,1570.0,199
producer_v2,40051,0,single,1,0,1.0,2390.0,168
producer_v2,40051,0,ens,1,0,1.0,1364.0,166
producer_v2,40051,1,ens,1,0,1.0,1920.0,179
producer_v2,40051,1,single,0,0,-1.0,-2068.0,168
producer_v2,40053,0,single,0,0,-1.0,-2271.0,151
producer_v2,40053,1,single,1,0,1.0,2127.0,142
producer_v2,40052,1,ens,0,0,-1.0,-2022.0,204
producer_v2,40053,0,ens,0,0,-1.0,-2234.0,160
producer_v2,40052,1,single,1,0,1.0,1446.0,205
producer_v2,40053,1,ens,1,0,1.0,1806.0,134
producer_v2,40054,1,single,0,0,-1.0,-1512.0,141
producer_v2,40052,0,single,0,0,-1.0,-1570.0,401
producer_v2,40054,0,ens,1,0,1.0,4272.0,276
producer_v2,40052,0,ens,0,0,-1.0,-4.0,499
producer_v2,40055,0,single,1,0,1.0,1316.0,148
producer_v2,40054,1,ens,0,0,-1.0,-2394.0,160
producer_v2,40055,1,single,0,0,-1.0,-1392.0,139
producer_v2,40055,0,ens,0,0,-1.0,-1697.0,193
producer_v2,40054,0,single,1,0,1.0,220.0,499
producer_v2,40056,0,ens,0,0,-1.0,-2149.0,167
producer_v2,40056,0,single,1,0,1.0,2399.0,159
producer_v2,40055,1,ens,1,0,1.0,1938.0,164
producer_v2,40057,1,single,0,0,-1.0,-1695.0,112
producer_v2,40057,0,ens,1,0,1.0,1522.0,175
producer_v2,40057,1,ens,0,0,-1.0,-1624.0,201
producer_v2,40058,0,single,0,0,-1.0,-1118.0,182
producer_v2,40056,1,single,1,0,1.0,611.0,499
producer_v2,40057,0,single,0,0,-1.0,-996.0,408
producer_v2,40058,0,ens,0,0,-1.0,-1913.0,154
producer_v2,40058,1,single,1,0,1.0,2118.0,155
producer_v2,40056,1,ens,0,0,-1.0,-311.0,499
producer_v2,40059,0,single,0,0,-1.0,-1699.0,204
producer_v2,40059,0,ens,0,0,-1.0,-1591.0,174
producer_v2,40058,1,ens,0,0,-1.0,-1460.0,172
producer,40000,0,ens,1,0,1.0,2641.0,119
producer_v2,40059,1,ens,0,0,-1.0,-1622.0,205
producer_v2,40059,1,single,1,0,1.0,1502.0,276
producer,40000,0,single,1,0,1.0,7111.0,249
producer,40000,1,single,1,0,1.0,1454.0,156
producer,40001,0,single,0,0,-1.0,-986.0,160
producer,40000,1,ens,0,0,-1.0,-1528.0,132
producer,40001,0,ens,1,0,1.0,1102.0,158
producer,40002,0,single,1,0,1.0,1917.0,150
producer,40001,1,single,1,0,1.0,585.0,198
producer,40001,1,ens,0,0,-1.0,-1962.0,109
producer,40002,1,single,1,0,1.0,2183.0,142
producer,40002,0,ens,1,0,1.0,1379.0,208
producer,40003,0,single,1,0,1.0,1245.0,148
producer,40004,0,single,1,0,1.0,2492.0,135
producer,40003,1,ens,1,0,1.0,2417.0,141
producer,40002,1,ens,1,0,1.0,1417.0,185
producer,40003,1,single,0,0,-1.0,-1662.0,140
producer,40003,0,ens,1,0,1.0,1529.0,174
producer,40005,0,single,1,0,1.0,2209.0,99
producer,40004,0,ens,1,0,1.0,1925.0,133
producer,40005,0,ens,1,0,1.0,1174.0,110
producer,40005,1,single,1,0,1.0,3002.0,111
producer,40004,1,single,0,0,-1.0,-1317.0,173
producer,40005,1,ens,1,0,1.0,1223.0,145
producer,40004,1,ens,0,0,-1.0,-1158.0,116
producer,40006,0,single,1,0,1.0,1286.0,164
producer,40006,0,ens,1,0,1.0,1593.0,148
producer,40007,0,single,1,0,1.0,1451.0,132
producer,40006,1,single,1,0,1.0,1500.0,133
producer,40007,1,single,0,0,-1.0,-1081.0,122
producer,40007,0,ens,0,0,-1.0,-1420.0,148
producer,40006,1,ens,0,0,-1.0,-1193.0,179
producer,40008,0,single,1,0,1.0,1396.0,141
producer,40008,1,single,1,0,1.0,1359.0,139
producer,40008,0,ens,1,0,1.0,2238.0,144
producer,40009,0,single,0,0,-1.0,-1843.0,141
producer,40007,1,ens,1,0,1.0,1790.0,153
producer,40009,1,single,0,0,-1.0,-1704.0,111
producer,40008,1,ens,1,0,1.0,1147.0,261
producer,40009,0,ens,0,0,-1.0,-1566.0,191
producer,40009,1,ens,1,0,1.0,1031.0,117
producer,40010,1,single,0,0,-1.0,-1382.0,164
producer,40010,0,single,0,0,-1.0,-1872.0,185
producer,40010,0,ens,1,0,1.0,3015.0,118
producer,40011,1,single,0,0,-1.0,-1512.0,128
producer,40010,1,ens,1,0,1.0,1263.0,130
producer,40011,0,single,0,0,-1.0,-2098.0,230
producer,40011,1,ens,0,0,-1.0,-2206.0,127
producer,40012,0,single,0,0,-1.0,-277.0,156
producer,40011,0,ens,1,0,1.0,1119.0,152
producer,40012,0,ens,1,0,1.0,1543.0,199
producer,40012,1,ens,1,0,1.0,2112.0,151
