opp,seed,side,variant,win,tie,reward,margin,steps
tamrazov_1224,41038,1,ens,1,0,1.0,2543.0,94
tamrazov_1224,41039,1,single,1,0,1.0,4318.0,103
tamrazov_1224,41039,1,ens,1,0,1.0,2195.0,104
tamrazov_1224,41039,0,single,1,0,1.0,2718.0,132
tamrazov_1224,41040,0,ens,1,0,1.0,3012.0,97
tamrazov_1224,41040,1,single,1,0,1.0,3738.0,120
tamrazov_1224,41040,0,single,1,0,1.0,2549.0,102
tamrazov_1224,41041,0,single,1,0,1.0,3676.0,98
tamrazov_1224,41040,1,ens,1,0,1.0,3633.0,109
tamrazov_1224,41041,0,ens,1,0,1.0,1988.0,88
tamrazov_1224,41041,1,single,1,0,1.0,3289.0,90
tamrazov_1224,41042,0,single,1,0,1.0,1832.0,105
tamrazov_1224,41042,0,ens,1,0,1.0,3499.0,110
tamrazov_1224,41042,1,ens,1,0,1.0,2017.0,90
tamrazov_1224,41041,1,ens,1,0,1.0,628.0,137
tamrazov_1224,41042,1,single,1,0,1.0,1511.0,113
tamrazov_1224,41043,1,single,1,0,1.0,3626.0,105
tamrazov_1224,41043,0,ens,1,0,1.0,4677.0,111
tamrazov_1224,41044,0,single,1,0,1.0,2676.0,103
tamrazov_1224,41043,1,ens,1,0,1.0,2657.0,117
tamrazov_1224,41044,1,single,1,0,1.0,3147.0,104
tamrazov_1224,41044,1,ens,1,0,1.0,2233.0,100
tamrazov_1224,41044,0,ens,1,0,1.0,4604.0,132
tamrazov_1224,41043,0,single,0,0,-1.0,-1752.0,163
tamrazov_1224,41045,1,ens,1,0,1.0,3443.0,107
tamrazov_1224,41045,0,ens,1,0,1.0,4074.0,124
tamrazov_1224,41045,0,single,1,0,1.0,3501.0,127
tamrazov_1224,41046,1,single,1,0,1.0,1600.0,98
tamrazov_1224,41046,0,single,1,0,1.0,3202.0,118
tamrazov_1224,41045,1,single,1,0,1.0,3079.0,119
tamrazov_1224,41046,1,ens,1,0,1.0,1745.0,148
tamrazov_1224,41046,0,ens,1,0,1.0,4299.0,103
tamrazov_1224,41047,1,single,1,0,1.0,4574.0,116
tamrazov_1224,41048,0,single,1,0,1.0,2731.0,126
tamrazov_1224,41047,0,single,1,0,1.0,4811.0,115
tamrazov_1224,41047,0,ens,1,0,1.0,1681.0,104
tamrazov_1224,41048,0,ens,1,0,1.0,4447.0,134
tamrazov_1224,41047,1,ens,1,0,1.0,3032.0,114
tamrazov_1224,41049,0,ens,1,0,1.0,2162.0,115
tamrazov_1224,41049,0,single,1,0,1.0,3984.0,97
tamrazov_1224,41048,1,single,1,0,1.0,5749.0,139
tamrazov_1224,41049,1,single,1,0,1.0,2730.0,86
tamrazov_1224,41048,1,ens,1,0,1.0,2980.0,140
tamrazov_1224,41049,1,ens,1,0,1.0,5202.0,126
tamrazov_1224,41050,1,single,1,0,1.0,3053.0,107
tamrazov_1224,41050,0,single,1,0,1.0,3001.0,128
tamrazov_1224,41051,0,single,1,0,1.0,1741.0,91
tamrazov_1224,41050,0,ens,1,0,1.0,2843.0,115
tamrazov_1224,41052,0,single,1,0,1.0,1179.0,97
tamrazov_1224,41051,1,single,1,0,1.0,3772.0,117
tamrazov_1224,41051,0,ens,1,0,1.0,1691.0,116
tamrazov_1224,41051,1,ens,1,0,1.0,2053.0,99
tamrazov_1224,41052,0,ens,1,0,1.0,2581.0,102
tamrazov_1224,41050,1,ens,1,0,1.0,4612.0,122
tamrazov_1224,41052,1,ens,1,0,1.0,1590.0,105
tamrazov_1224,41052,1,single,1,0,1.0,4191.0,144
tamrazov_1224,41053,1,single,1,0,1.0,3019.0,105
tamrazov_1224,41053,1,ens,1,0,1.0,2543.0,121
tamrazov_1224,41053,0,ens,1,0,1.0,3718.0,121
tamrazov_1224,41054,0,single,1,0,1.0,2774.0,100
tamrazov_1224,41054,0,ens,1,0,1.0,2538.0,90
tamrazov_1224,41053,0,single,1,0,1.0,5054.0,127
tamrazov_1224,41054,1,single,1,0,1.0,3610.0,122
tamrazov_1224,41055,0,single,1,0,1.0,2232.0,88
tamrazov_1224,41055,0,ens,1,0,1.0,3984.0,131
tamrazov_1224,41055,1,ens,1,0,1.0,2734.0,100
tamrazov_1224,41055,1,single,1,0,1.0,1912.0,124
tamrazov_1224,41054,1,ens,1,0,1.0,2954.0,102
tamrazov_1224,41056,0,ens,1,0,1.0,3365.0,127
tamrazov_1224,41056,1,ens,1,0,1.0,1432.0,118
tamrazov_1224,41057,0,single,1,0,1.0,1075.0,109
tamrazov_1224,41057,1,single,1,0,1.0,2901.0,99
tamrazov_1224,41056,0,single,1,0,1.0,3603.0,114
tamrazov_1224,41056,1,single,1,0,1.0,4229.0,127
tamrazov_1224,41057,0,ens,1,0,1.0,4610.0,125
tamrazov_1224,41058,0,ens,1,0,1.0,1024.0,101
tamrazov_1224,41058,1,single,1,0,1.0,2246.0,123
tamrazov_1224,41058,0,single,1,0,1.0,2381.0,107
tamrazov_1224,41058,1,ens,1,0,1.0,3190.0,139
tamrazov_1224,41057,1,ens,1,0,1.0,4354.0,109
tamrazov_1224,41059,0,single,1,0,1.0,2263.0,122
tamrazov_1224,41059,1,ens,1,0,1.0,2029.0,100
distance_1100,41000,0,single,1,0,1.0,5407.0,106
tamrazov_1224,41059,1,single,1,0,1.0,2907.0,90
tamrazov_1224,41059,0,ens,1,0,1.0,4602.0,137
distance_1100,41000,1,ens,1,0,1.0,2333.0,90
distance_1100,41000,1,single,1,0,1.0,1934.0,103
distance_1100,41001,0,ens,1,0,1.0,2187.0,81
distance_1100,41000,0,ens,1,0,1.0,4102.0,129
distance_1100,41001,1,single,1,0,1.0,3105.0,96
distance_1100,41001,0,single,1,0,1.0,3331.0,99
distance_1100,41002,1,single,1,0,1.0,1973.0,96
distance_1100,41002,0,ens,1,0,1.0,1733.0,94
distance_1100,41001,1,ens,1,0,1.0,5261.0,130
distance_1100,41002,1,ens,1,0,1.0,1594.0,101
distance_1100,41003,0,single,1,0,1.0,2515.0,110
distance_1100,41002,0,single,1,0,1.0,2094.0,98
distance_1100,41003,0,ens,1,0,1.0,3457.0,101
distance_1100,41003,1,single,1,0,1.0,3318.0,116
distance_1100,41004,1,single,1,0,1.0,2431.0,103
distance_1100,41003,1,ens,1,0,1.0,2417.0,94
distance_1100,41005,0,single,1,0,1.0,1467.0,135
distance_1100,41004,0,single,1,0,1.0,2770.0,95
distance_1100,41004,0,ens,1,0,1.0,187.0,90
distance_1100,41005,1,single,1,0,1.0,2534.0,96
distance_1100,41004,1,ens,1,0,1.0,1967.0,86
distance_1100,41006,0,single,1,0,1.0,1791.0,106
distance_1100,41006,1,single,1,0,1.0,2776.0,103
