archetype,dose,seed,v5_side,outcome,reward_v5,reward_arch,score_v5,score_arch,steps,status_v5,status_arch,seconds
swarmer,1,20050,0,v5,1,-1,3183.0,0.0,138,DONE,DONE,12.5
swarmer,1,20049,1,v5,1,-1,5555.0,0.0,142,DONE,DONE,18.2
swarmer,1,20053,1,v5,1,-1,3195.0,0.0,137,DONE,DONE,14.3
swarmer,1,20056,0,v5,1,-1,2901.0,0.0,105,DONE,DONE,7.6
swarmer,1,20057,1,v5,1,-1,3319.0,0.0,82,DONE,DONE,6.0
swarmer,1,20061,1,v5,1,-1,2616.0,0.0,77,DONE,DONE,5.5
swarmer,1,20051,1,v5,1,-1,6641.0,0.0,136,DONE,DONE,19.8
swarmer,1,20060,0,v5,1,-1,2232.0,0.0,129,DONE,DONE,8.7
swarmer,1,20058,0,v5,1,-1,4458.0,0.0,99,DONE,DONE,12.8
swarmer,1,20055,1,v5,1,-1,3467.0,0.0,108,DONE,DONE,13.0
swarmer,1,20059,1,v5,1,-1,7428.0,0.0,158,DONE,DONE,18.9
swarmer,1,20062,0,v5,1,-1,3456.0,0.0,128,DONE,DONE,8.8
swarmer,1,20064,0,v5,1,-1,3573.0,0.0,148,DONE,DONE,13.5
swarmer,1,20063,1,v5,1,-1,4200.0,0.0,128,DONE,DONE,14.8
swarmer,1,20066,0,v5,1,-1,3882.0,0.0,118,DONE,DONE,12.9
swarmer,1,20067,1,v5,1,-1,1916.0,0.0,123,DONE,DONE,13.0
swarmer,1,20065,1,v5,1,-1,4401.0,0.0,117,DONE,DONE,8.9
swarmer,1,20069,1,v5,1,-1,4503.0,0.0,148,DONE,DONE,9.5
swarmer,1,20070,0,v5,1,-1,3476.0,0.0,140,DONE,DONE,13.2
swarmer,1,20072,0,v5,1,-1,1330.0,0.0,100,DONE,DONE,10.6
swarmer,1,20071,1,v5,1,-1,5623.0,0.0,133,DONE,DONE,18.0
swarmer,1,20075,1,v5,1,-1,2673.0,0.0,101,DONE,DONE,8.0
swarmer,1,20068,0,v5,1,-1,6442.0,0.0,120,DONE,DONE,17.1
swarmer,1,20073,1,v5,1,-1,7221.0,0.0,152,DONE,DONE,11.2
swarmer,1,20077,1,v5,1,-1,3068.0,0.0,111,DONE,DONE,12.3
swarmer,1,20076,0,v5,1,-1,5685.0,0.0,140,DONE,DONE,16.3
swarmer,1,20079,1,v5,1,-1,4251.0,0.0,141,DONE,DONE,11.5
swarmer,1,20080,0,v5,1,-1,7672.0,0.0,132,DONE,DONE,9.3
swarmer,1,20074,0,v5,1,-1,1841.0,0.0,128,DONE,DONE,14.5
swarmer,1,20078,0,v5,1,-1,2444.0,0.0,140,DONE,DONE,12.3
swarmer,1,20083,1,v5,1,-1,2803.0,0.0,114,DONE,DONE,7.5
swarmer,1,20084,0,v5,1,-1,6508.0,0.0,147,DONE,DONE,10.0
swarmer,1,20081,1,v5,1,-1,4586.0,0.0,125,DONE,DONE,16.4
swarmer,1,20088,0,v5,1,-1,2254.0,0.0,84,DONE,DONE,5.9
swarmer,1,20085,1,v5,1,-1,3804.0,0.0,147,DONE,DONE,14.8
swarmer,1,20087,1,v5,1,-1,4277.0,0.0,127,DONE,DONE,10.0
swarmer,1,20086,0,v5,1,-1,5231.0,0.0,117,DONE,DONE,16.1
swarmer,1,20082,0,v5,1,-1,6479.0,0.0,139,DONE,DONE,16.5
swarmer,1,20089,1,v5,1,-1,4070.0,0.0,144,DONE,DONE,12.3
swarmer,1,20093,1,v5,1,-1,2743.0,0.0,129,DONE,DONE,11.0
swarmer,1,20090,0,v5,1,-1,6497.0,0.0,150,DONE,DONE,10.4
swarmer,1,20096,0,v5,1,-1,4463.0,0.0,132,DONE,DONE,8.3
swarmer,1,20094,0,v5,1,-1,4272.0,0.0,106,DONE,DONE,14.5
swarmer,1,20091,1,v5,1,-1,5522.0,0.0,115,DONE,DONE,14.0
swarmer,1,20097,1,v5,1,-1,2473.0,0.0,121,DONE,DONE,7.1
swarmer,1,20095,1,v5,1,-1,4970.0,0.0,129,DONE,DONE,14.9
swarmer,1,20092,0,v5,1,-1,4597.0,0.0,144,DONE,DONE,15.4
swarmer,1,20103,1,v5,1,-1,3961.0,0.0,120,DONE,DONE,6.3
swarmer,1,20100,0,v5,1,-1,3615.0,0.0,131,DONE,DONE,12.9
swarmer,1,20098,0,v5,1,-1,6163.0,0.0,129,DONE,DONE,14.6
swarmer,1,20099,1,v5,1,-1,7286.0,0.0,212,DONE,DONE,16.4
swarmer,1,20104,0,v5,1,-1,5401.0,0.0,123,DONE,DONE,4.7
swarmer,1,20105,1,v5,1,-1,888.0,0.0,69,DONE,DONE,5.0
swarmer,1,20101,1,v5,1,-1,2349.0,0.0,100,DONE,DONE,8.1
swarmer,1,20108,0,v5,1,-1,2521.0,0.0,89,DONE,DONE,4.4
swarmer,1,20107,1,v5,1,-1,6657.0,0.0,155,DONE,DONE,9.0
swarmer,1,20106,0,v5,1,-1,4580.0,0.0,145,DONE,DONE,11.8
swarmer,1,20102,0,v5,1,-1,3601.0,0.0,131,DONE,DONE,11.8
swarmer,1,20109,1,v5,1,-1,6419.0,0.0,126,DONE,DONE,9.7
swarmer,1,20110,0,v5,1,-1,2757.0,0.0,105,DONE,DONE,5.2
swarmer,1,20114,0,v5,1,-1,3211.0,0.0,96,DONE,DONE,5.3
swarmer,1,20112,0,v5,1,-1,5002.0,0.0,113,DONE,DONE,12.2
swarmer,1,20116,0,v5,1,-1,5174.0,0.0,148,DONE,DONE,7.0
swarmer,1,20113,1,v5,1,-1,5758.0,0.0,163,DONE,DONE,14.0
swarmer,1,20118,0,v5,1,-1,7081.0,0.0,142,DONE,DONE,9.0
swarmer,1,20111,1,v5,1,-1,7999.0,0.0,163,DONE,DONE,18.7
swarmer,1,20117,1,v5,1,-1,5782.0,0.0,160,DONE,DONE,15.5
swarmer,3,20000,0,v5,1,-1,3269.0,0.0,102,DONE,DONE,8.7
swarmer,3,20001,1,v5,1,-1,1363.0,0.0,105,DONE,DONE,7.2
swarmer,1,20115,1,v5,1,-1,3839.0,0.0,159,DONE,DONE,17.2
swarmer,3,20003,1,v5,1,-1,3471.0,0.0,112,DONE,DONE,13.6
swarmer,3,20002,0,v5,1,-1,7624.0,0.0,131,DONE,DONE,16.6
swarmer,3,20004,0,v5,1,-1,2391.0,0.0,101,DONE,DONE,6.5
swarmer,3,20009,1,v5,1,-1,1681.0,0.0,88,DONE,DONE,5.6
swarmer,1,20119,1,v5,1,-1,8367.0,0.0,152,DONE,DONE,21.2
swarmer,3,20005,1,v5,1,-1,8129.0,0.0,163,DONE,DONE,20.0
swarmer,3,20010,0,v5,1,-1,4306.0,0.0,99,DONE,DONE,7.2
swarmer,3,20007,1,v5,1,-1,4346.0,0.0,128,DONE,DONE,14.2
swarmer,3,20011,1,v5,1,-1,2970.0,0.0,118,DONE,DONE,7.5
swarmer,3,20006,0,v5,1,-1,5272.0,0.0,141,DONE,DONE,16.3
swarmer,3,20013,1,v5,1,-1,1655.0,0.0,77,DONE,DONE,5.2
swarmer,3,20008,0,v5,1,-1,3381.0,0.0,104,DONE,DONE,10.0
swarmer,3,20016,0,v5,1,-1,3201.0,0.0,146,DONE,DONE,10.1
swarmer,3,20012,0,v5,1,-1,4761.0,0.0,143,DONE,DONE,18.7
swarmer,3,20015,1,v5,1,-1,5109.0,0.0,157,DONE,DONE,14.0
swarmer,3,20014,0,v5,1,-1,4870.0,0.0,133,DONE,DONE,16.6
swarmer,3,20017,1,v5,1,-1,8735.0,0.0,141,DONE,DONE,13.6
swarmer,3,20019,1,v5,1,-1,8332.0,0.0,150,DONE,DONE,9.1
swarmer,3,20021,1,v5,1,-1,2582.0,0.0,85,DONE,DONE,7.0
swarmer,3,20020,0,v5,1,-1,4733.0,0.0,98,DONE,DONE,11.9
swarmer,3,20024,0,v5,1,-1,3007.0,0.0,135,DONE,DONE,8.8
swarmer,3,20018,0,v5,1,-1,3787.0,0.0,145,DONE,DONE,16.0
swarmer,3,20023,1,v5,1,-1,407.0,0.0,90,DONE,DONE,5.6
swarmer,3,20022,0,v5,1,-1,5695.0,0.0,117,DONE,DONE,18.2
swarmer,3,20025,1,v5,1,-1,5895.0,0.0,144,DONE,DONE,12.5
swarmer,3,20028,0,v5,1,-1,1936.0,0.0,119,DONE,DONE,13.4
swarmer,3,20029,1,v5,1,-1,4936.0,0.0,161,DONE,DONE,14.3
swarmer,3,20030,0,v5,1,-1,4798.0,0.0,140,DONE,DONE,15.0
swarmer,3,20027,1,v5,1,-1,4315.0,0.0,113,DONE,DONE,11.7
swarmer,3,20026,0,v5,1,-1,3438.0,0.0,212,DONE,DONE,19.9
swarmer,3,20031,1,v5,1,-1,6817.0,0.0,150,DONE,DONE,13.5
swarmer,3,20032,0,v5,1,-1,2854.0,0.0,128,DONE,DONE,13.3
swarmer,3,20035,1,v5,1,-1,4713.0,0.0,120,DONE,DONE,8.2
swarmer,3,20033,1,v5,1,-1,6670.0,0.0,161,DONE,DONE,14.7
swarmer,3,20037,1,v5,1,-1,1689.0,0.0,149,DONE,DONE,9.2
swarmer,3,20036,0,v5,1,-1,3416.0,0.0,108,DONE,DONE,13.2
swarmer,3,20039,1,v5,1,-1,2853.0,0.0,142,DONE,DONE,10.4
swarmer,3,20040,0,v5,1,-1,1783.0,0.0,88,DONE,DONE,10.8
swarmer,3,20038,0,v5,1,-1,3668.0,0.0,125,DONE,DONE,17.5
swarmer,3,20034,0,v5,1,-1,2674.0,0.0,142,DONE,DONE,12.7
swarmer,3,20043,1,v5,1,-1,5295.0,0.0,121,DONE,DONE,9.2
swarmer,3,20042,0,v5,1,-1,3226.0,0.0,136,DONE,DONE,16.9
swarmer,3,20041,1,v5,1,-1,1846.0,0.0,213,DONE,DONE,20.4
swarmer,3,20045,1,v5,1,-1,6324.0,0.0,153,DONE,DONE,11.0
swarmer,3,20050,0,v5,1,-1,1328.0,0.0,110,DONE,DONE,7.0
swarmer,3,20047,1,v5,1,-1,3672.0,0.0,145,DONE,DONE,15.7
swarmer,3,20051,1,v5,1,-1,3074.0,0.0,96,DONE,DONE,6.3
swarmer,3,20046,0,v5,1,-1,952.0,0.0,93,DONE,DONE,9.5
swarmer,3,20044,0,v5,1,-1,5644.0,0.0,135,DONE,DONE,13.8
swarmer,3,20049,1,v5,1,-1,4394.0,0.0,134,DONE,DONE,13.7
swarmer,3,20048,0,v5,1,-1,2427.0,0.0,134,DONE,DONE,14.7
swarmer,3,20053,1,v5,1,-1,1058.0,0.0,79,DONE,DONE,9.6
swarmer,3,20052,0,v5,1,-1,5263.0,0.0,144,DONE,DONE,10.5
