agent_0,agent_1,agent_2,agent_3,seed,rot,reward_0,score_0,rank_0,prodshare80_0,status_0,reward_1,score_1,rank_1,prodshare80_1,status_1,reward_2,score_2,rank_2,prodshare80_2,status_2,reward_3,score_3,rank_3,prodshare80_3,status_3,steps,seconds
producer,producer_v2,v5_hold_margin_beta2.0,v5,20138,2,1.0,3682.0,1,0.5593,DONE,-1.0,0.0,2,0.2542,DONE,-1.0,0.0,2,0.1017,DONE,-1.0,0.0,2,0.0847,DONE,173,40.0
producer_v2,v5_hold_margin_beta2.0,v5,producer,20139,3,-1.0,0.0,2,0.4103,DONE,1.0,5029.0,1,0.4359,DONE,-1.0,0.0,2,0.1282,DONE,-1.0,0.0,2,0.0256,DONE,215,57.1
producer,producer_v2,v5_hold_margin_beta2.0,v5,20142,2,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.2083,DONE,1.0,720.0,1,0.5,DONE,-1.0,0.0,2,0.2917,DONE,138,38.0
v5,producer,producer_v2,v5_hold_margin_beta2.0,20137,1,-1.0,36.0,2,0.2692,DONE,-1.0,0.0,3,0.0,DONE,-1.0,0.0,3,0.25,DONE,1.0,13801.0,1,0.4808,DONE,499,102.3
producer_v2,v5_hold_margin_beta2.0,v5,producer,20143,3,1.0,2365.0,1,0.4933,DONE,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.24,DONE,-1.0,0.0,2,0.2667,DONE,135,44.1
producer,producer_v2,v5_hold_margin_beta2.0,v5,20146,2,-1.0,0.0,2,0.0,DONE,1.0,1809.0,1,0.4915,DONE,-1.0,0.0,2,0.1356,DONE,-1.0,0.0,2,0.3729,DONE,146,40.3
v5,producer,producer_v2,v5_hold_margin_beta2.0,20145,1,-1.0,0.0,2,0.0732,DONE,-1.0,0.0,2,0.1951,DONE,-1.0,0.0,2,0.0,DONE,1.0,5019.0,1,0.7317,DONE,220,43.3
v5_hold_margin_beta2.0,v5,producer,producer_v2,20148,0,-1.0,0.0,2,0.25,DONE,1.0,3022.0,1,0.25,DONE,-1.0,0.0,2,0.2976,DONE,-1.0,0.0,2,0.2024,DONE,196,43.9
v5_hold_margin_beta2.0,v5,producer,producer_v2,20144,0,-1.0,0.0,3,0.25,DONE,-1.0,275.0,2,0.25,DONE,-1.0,0.0,3,0.25,DONE,1.0,732.0,1,0.25,DONE,499,84.3
v5,producer,producer_v2,v5_hold_margin_beta2.0,20141,1,-1.0,168.0,2,0.3514,DONE,-1.0,0.0,3,0.2432,DONE,-1.0,0.0,3,0.2432,DONE,1.0,8223.0,1,0.1622,DONE,499,103.4
producer_v2,v5_hold_margin_beta2.0,v5,producer,20147,3,-1.0,0.0,2,0.2955,DONE,-1.0,0.0,2,0.0,DONE,1.0,2408.0,1,0.25,DONE,-1.0,0.0,2,0.4545,DONE,259,56.3
producer_v2,v5_hold_margin_beta2.0,v5,producer,20151,3,1.0,2018.0,1,0.6552,DONE,-1.0,0.0,2,0.1207,DONE,-1.0,0.0,2,0.2069,DONE,-1.0,0.0,2,0.0172,DONE,121,23.5
producer,producer_v2,v5_hold_margin_beta2.0,v5,20150,2,-1.0,0.0,2,0.2727,DONE,1.0,1735.0,1,0.4545,DONE,-1.0,0.0,2,0.0303,DONE,-1.0,0.0,2,0.2424,DONE,171,42.7
v5,producer,producer_v2,v5_hold_margin_beta2.0,20149,1,-1.0,0.0,2,0.0625,DONE,-1.0,0.0,2,0.05,DONE,-1.0,0.0,2,0.4,DONE,1.0,2817.0,1,0.4875,DONE,211,61.5
v5_hold_margin_beta2.0,v5,producer,producer_v2,20152,0,1.0,2286.0,1,0.3269,DONE,-1.0,0.0,2,0.2308,DONE,-1.0,0.0,2,0.1923,DONE,-1.0,0.0,2,0.25,DONE,211,46.1
v5,producer,producer_v2,v5_hold_margin_beta2.0,20153,1,-1.0,0.0,2,0.3529,DONE,-1.0,0.0,2,0.2647,DONE,1.0,2419.0,1,0.1176,DONE,-1.0,0.0,2,0.2647,DONE,195,50.8
producer,producer_v2,v5_hold_margin_beta2.0,v5,20158,2,-1.0,0.0,2,0.0,DONE,-1.0,0.0,2,0.0426,DONE,1.0,1300.0,1,0.8085,DONE,-1.0,0.0,2,0.1489,DONE,93,31.4
producer,producer_v2,v5_hold_margin_beta2.0,v5,20154,2,-1.0,0.0,2,0.2951,DONE,1.0,3719.0,1,0.2459,DONE,-1.0,0.0,2,0.3607,DONE,-1.0,0.0,2,0.0984,DONE,200,58.1
producer_v2,v5_hold_margin_beta2.0,v5,producer,20155,3,1.0,2074.0,1,0.3636,DONE,-1.0,0.0,2,0.25,DONE,-1.0,0.0,2,0.3409,DONE,-1.0,0.0,2,0.0455,DONE,192,54.4
v5,producer,producer_v2,v5_hold_margin_beta2.0,20157,1,-1.0,0.0,2,0.275,DONE,-1.0,0.0,2,0.25,DONE,1.0,2102.0,1,0.25,DONE,-1.0,0.0,2,0.225,DONE,409,65.4
v5_hold_margin_beta2.0,v5,producer,producer_v2,20156,0,-1.0,313.0,3,0.1918,DONE,-1.0,481.0,2,0.3151,DONE,-1.0,0.0,4,0.1233,DONE,1.0,683.0,1,0.3699,DONE,499,85.7
producer_v2,v5_hold_margin_beta2.0,v5,producer,20159,3,-1.0,218.0,2,0.25,DONE,1.0,8550.0,1,0.25,DONE,-1.0,0.0,3,0.25,DONE,-1.0,0.0,3,0.25,DONE,499,66.4
